"time","temp","vpd","co2","eppfd_1","eppfd_2","eppfd_3","eppfd_4","eppfdi_1","eppfdi_2","eppfdi_3","eppfdi_4","ppfd_1","ppfd_2","ppfd_3","ppfd_4","ppfdi_1","ppfdi_2","ppfdi_3","ppfdi_4","eppfd_g","eppfdi_g"
2025-04-23 20:30:00,21.76,0.142,489.3,0.1293703,0.1353254,0.1235153,0.1196888,0,0,0,0,0.08128022,0.1040927,0.09131102,0.06640162,0,0,0,0,0.05508,0
2025-04-23 20:45:00,21.62,0.109,490.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03335,0
2025-04-23 21:00:00,21.55,0.081,492.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03297666,0
2025-04-23 21:15:00,21.44,0.057,493.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03447333,0
2025-04-23 21:30:00,21.32,0.039,495.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02622667,0
2025-04-23 21:45:00,21.22,0.02,497.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01873333,0
2025-04-23 22:00:00,21.14,0.005,499.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01710667,0
2025-04-23 22:15:00,21.05,-0.013,501.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387,0
2025-04-23 22:30:00,20.97,-0.022,499.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02011,0
2025-04-23 22:45:00,20.81,-0.017,499.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04821,0
2025-04-23 23:00:00,20.64,-0.018,497.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007619999,0
2025-04-23 23:15:00,20.47,-0.017,500.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02347666,0
2025-04-23 23:30:00,20.78,-0.001,502.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03123,0
2025-04-23 23:45:00,20.8,0.028,507.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01161667,0
2025-04-24,20.55,0.005,504.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03585,0
2025-04-24 00:15:00,20.4,-0.015,504.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-24 00:30:00,20.36,-0.037,505.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01561,0
2025-04-24 00:45:00,20.88,-0.004,508.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01575722,0.1387
2025-04-24 01:00:00,20.66,-0.026,506.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01259611,0
2025-04-24 01:15:00,20.5,-0.055,505.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02897333,0
2025-04-24 01:30:00,20.35,-0.06,509.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04621333,0
2025-04-24 01:45:00,20.25,-0.059,506.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005619999,0
2025-04-24 02:00:00,20.18,-0.058,513.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01811,0
2025-04-24 02:15:00,20.21,-0.054,508.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005493333,0
2025-04-24 02:30:00,20.82,-0.045,513.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01836,0
2025-04-24 02:45:00,20.57,-0.059,513.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02822333,0
2025-04-24 03:00:00,20.46,-0.059,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005493333,0
2025-04-24 03:15:00,20.27,-0.061,511.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02086,0
2025-04-24 03:30:00,20.12,-0.06,514.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03166333,0.1236
2025-04-24 03:45:00,20.72,-0.045,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419,0
2025-04-24 04:00:00,20.45,-0.06,520.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02473333,0
2025-04-24 04:15:00,20.33,-0.056,519.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02872667,0
2025-04-24 04:30:00,20.81,-0.049,518.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05258333,0
2025-04-24 04:45:00,20.36,-0.062,519.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02161,0
2025-04-24 05:00:00,20.32,-0.056,519.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02460667,0
2025-04-24 05:15:00,20.65,-0.053,523.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008616666,0
2025-04-24 05:30:00,20.36,-0.06,523.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02385333,0
2025-04-24 05:45:00,20.78,-0.05,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03285333,0
2025-04-24 06:00:00,20.27,-0.065,524.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02035667,0
2025-04-24 06:15:00,20.43,-0.05,524.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02398333,0
2025-04-24 06:30:00,20.56,-0.056,532.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04283667,0
