time,qy_1,qy_2,qy_3,qy_4,temp,vpd,co2,eppfd_1,eppfd_2,eppfd_3,eppfd_4,eppfdi_1,eppfdi_2,eppfdi_3,eppfdi_4,ppfd_1,ppfd_2,ppfd_3,ppfd_4,ppfdi_1,ppfdi_2,ppfdi_3,ppfdi_4,eppfd_g,eppfdi_g,date,edli_1,edli_2,edli_3,edli_4,dli_1,dli_2,dli_3,dli_4
2025-04-23T13:30:00Z,0.648,0.531,0.473,0.523,22.56,0.281,478.1,200.9001,203.3458,203.3167,201.4264,362.799,345.3347,362.3441,331.014,156.1976,161.8575,166.6955,158.9705,278.3758,279.0514,300.866,275.0356,214.2032,445.5796,2025-04-23,8.5369369518,11.4598894239,10.3857407928,8.5507029891,6.693277941,9.109421786699999,8.5165174179,7.0946898039
2025-04-23T13:45:00Z,0.691,0.594,0.566,0.679,23.22,0.228,482.4,339.7477,413.651,444.8968,362.5139,322.1211,334.4392,333.9842,332.6781,279.9499,274.2022,366.7115,346.5004,256.31,261.8146,273.6703,260.1653,319.3741,333.8549,2025-04-23,8.8427098818,11.8321753239,10.7861479128,8.876965499099999,6.945232851000001,9.3562037667,8.846557767900002,7.4065401639
2025-04-23T14:00:00Z,0.701,0.594,0.565,0.669,23.44,0.262,480.5,409.2695,370.2303,445.043,349.8771,675.9167,714.9221,778.8163,415.8961,291.8389,331.4049,367.7436,273.3383,548.1411,583.5829,621.2828,301.2982,462.1992,277.7714,2025-04-23,9.2110524318,12.165382593899999,11.1866866128,9.1918548891,7.207887861000001,9.654468176700002,9.1775270079,7.6525446339
2025-04-23T14:15:00Z,0.509,0.426,0.437,0.416,25.09,0.465,477.9,539.8329,1041.237,1097.54,953.6382,313.2757,1225.981,1305.982,1104.704,455.2746,801.7367,934.2467,714.197,252.6878,951.3839,1180.636,1056.378,1156.745,1211.834,2025-04-23,9.696902041800001,13.102495893899999,12.1744726128,10.050129269100001,7.617635001,10.3760312067,10.0183490379,8.2953219339
2025-04-23T14:30:00Z,0.384,0.465,0.425,0.472,25.88,0.743,474.9,709.4492,1062.332,1112.37,1013.061,1170.954,1086.318,1075.359,926.7842,569.0709,870.2299,832.015,783.8594,1010.123,965.056,310.0646,488.1574,1103.827,1192.893,2025-04-23,10.3354063218,14.0585946939,13.1756056128,10.9618841691,8.129798811,11.159238116700001,10.767162537899999,9.0007953939
2025-04-23T14:45:00Z,0.42,0.525,0.602,0.455,26.23,0.857,473.4,1200.216,1164.253,626.9094,1200.985,1221.902,1009.337,1186.391,1182.892,1003.446,953.2932,673.4601,843.06,995.6874,855.5898,993.1594,907.7854,1208.446,1209.87,2025-04-23,11.4156007218,15.106422393899999,13.739824072800001,12.0427706691,9.032900211000001,12.0172019967,11.373276627900001,9.7595493939
2025-04-23T15:00:00Z,0.494,0.516,0.552,0.514,26.46,0.887,470.6,1225.768,633.1881,938.361,872.8519,1232.312,598.8782,1131.936,978.0271,966.8911,547.0462,803.8836,703.2276,817.7756,845.9323,1000.034,903.7961,1061.887,1196.652,2025-04-23,12.5187919218,15.676291683899999,14.584348972799999,12.8283373791,9.903102201000001,12.5095435767,12.096771867900001,10.392454233899999
2025-04-23T15:15:00Z,0.557,0.584,0.456,0.519,26.8,0.952,471.4,1110.891,1026.017,1124.682,1128.88,1170.198,1068.664,1123.355,1183.45,835.4733,777.262,980.2753,746.4929,862.7969,883.8267,989.0985,663.5925,1077.967,277.674,2025-04-23,13.518593821800001,16.5997069839,15.596562772799999,13.844329379100001,10.655028171,13.2090793767,12.9790196379,11.064297843899999
2025-04-23T15:30:00Z,0.552,0.49,0.444,0.518,26.91,1.009,468.1,898.8148,844.3115,1110.095,995.0142,1111.028,1007.747,1137.53,950.7119,714.42,660.0104,946.8672,815.8802,892.6024,768.6147,955.9963,785.1649,869.1058,317.2491,2025-04-23,14.3275271418,17.3595873339,16.595648272800002,14.7398421591,11.298006171,13.8030887367,13.831200117900002,11.7985900239
2025-04-23T15:45:00Z,0.516,0.478,0.433,0.5,26.31,0.983,467.2,867.4587,833.3037,889.1216,773.8318,1068.913,1012.789,1189.23,680.184,697.3445,647.5807,670.2975,624.0312,870.3853,830.5734,491.6039,477.5674,707.8995,1052.162,2025-04-23,15.108239971800002,18.109560663899998,17.3958577128,15.436290779099998,11.925616221,14.385911366699998,14.434467867899999,12.360218103900001
2025-04-23T16:00:00Z,0.522,0.464,0.473,0.53,27.3,1.053,470.7,1056.831,1008.422,956.2476,1036.715,1071.018,977.6442,677.9693,1009.327,769.4661,793.9571,545.0465,799.8054,707.0751,765.6622,719.7772,865.5091,1074.106,1091.403,2025-04-23,16.0593878718,19.0171404639,18.2564805528,16.3693342791,12.618135710999999,15.1004727567,14.925009717900002,13.0800429639
2025-04-23T16:15:00Z,0.541,0.449,0.449,0.525,26.73,1.071,467.2,777.7523,555.1663,552.4249,688.5712,447.0569,391.791,399.8036,883.6863,643.3587,479.6265,457.5438,594.3961,562.8238,237.3043,345.9783,280.4665,914.4951,974.6342,2025-04-23,16.7593649418,19.5167901339,18.7536629628,16.989048359100003,13.197158541,15.532136606700002,15.3367991379,13.6149994539
2025-04-23T16:30:00Z,0.686,0.618,0.608,0.689,26.7,1.016,465.6,467.2585,349.3636,369.1862,631.9764,224.1113,217.1608,222.7502,225.5155,322.5262,254.7991,435.3272,449.0335,176.9836,169.2809,180.3862,176.3376,673.1927,213.6605,2025-04-23,17.1798975918,19.8312173739,19.085930542799996,17.5578271191,13.487432121000001,15.7614557967,15.728593617900001,14.019129603899998
2025-04-23T16:45:00Z,0.683,0.595,0.574,0.675,24.77,0.777,464.8,332.5191,246.194,281.1586,346.6485,798.5651,335.5432,760.437,875.4846,267.5926,192.8506,265.2269,277.2089,727.2932,258.2694,683.0506,736.7936,342.649,323.0879,2025-04-23,17.4791647818,20.052791973899996,19.3389732828,17.8698107691,13.728265461000001,15.9350213367,15.967297827899998,14.2686176139
2025-04-23T17:00:00Z,0.607,0.537,0.559,0.669,25.46,0.815,465.9,480.8782,394.9828,583.0052,644.8298,437.1208,363.449,418.1114,373.9307,372.9788,308.4466,496.0304,504.9037,334.9106,275.4311,325.0392,307.4627,400.7411,236.0939,2025-04-23,17.9119551618,20.4082764939,19.8636779628,18.450157589099998,14.063946381,16.2126232767,16.4137251879,14.7230309439
2025-04-23T17:15:00Z,0.626,0.513,0.51,0.623,24.97,0.747,466.9,386.9523,342.9786,369.4581,396.1063,251.9339,233.7932,244.4161,256.5691,317.7032,266.2483,294.3516,311.7738,200.9676,183.3387,200.6684,203.3853,386.2146,302.6071,2025-04-23,18.2602122318,20.7169572339,20.1961902528,18.806653259100003,14.349879261,16.4522467467,16.6786416279,15.003627363899998
2025-04-23T17:30:00Z,0.603,0.485,0.505,0.608,25.64,0.8,468.3,590.3066,486.8633,582.6205,626.7391,634.4352,531.5716,581.7893,582.8201,461.2491,367.5839,480.9002,492.7556,514.7091,415.5888,480.9569,471.7072,542.2275,684.7541,2025-04-23,18.7914881718,21.155134203899998,20.7205487028,19.3707184491,14.765003451,16.7830722567,17.1114518079,15.447107403899999
2025-04-23T17:45:00Z,0.766,0.68,0.668,0.767,24,0.703,467.4,278.2364,252.6193,258.0596,274.7437,76.98426,82.51746,80.53738,81.16762,218.5655,192.675,225.1115,221.0105,61.78942,64.81588,65.69407,63.70931,233.0943,98.9152,2025-04-23,19.0419009318,21.3824915739,20.9528023428,19.6179877791,14.961712400999998,16.9564797567,17.314052157899997,15.646016853899999
2025-04-23T18:00:00Z,0.807,0.705,0.709,0.752,21.78,0.569,475.9,103.0054,108.231,105.8322,106.5342,82.59297,85.38474,84.07066,85.03909,82.50372,84.94664,86.11437,83.41366,65.90225,66.84276,68.81992,65.73691,101.939,78.0259,2025-04-23,19.1346057918,21.4798994739,21.0480513228,19.7138685591,15.035965749,17.0329317327,17.3915550909,15.721089147900003
2025-04-23T18:15:00Z,0.805,0.741,0.739,0.805,22.52,0.575,475,60.88239,63.2299,62.57442,61.72698,37.63745,39.85587,38.75683,37.86946,48.50596,49.43084,51.21816,47.81713,29.72362,30.81264,31.51127,29.39701,55.2888,30.8505,2025-04-23,19.1893999428,21.5368063839,21.1043683008,19.7694228411,15.079621113000002,17.0774194887,17.4376514349,15.764124564900001
