"time","qy_1","qy_2","qy_3","qy_4"
2025-04-04 22:00:01.076,0.865,0.829,0.843,0.863
2025-04-04 22:59:59.089,0.876,0.827,0.844,0.851
2025-04-04 23:59:57.31,0.885,0.815,0.846,0.856
2025-04-05 00:59:55.303,0.881,0.82,0.839,0.858
2025-04-05 01:59:53.514,0.893,0.822,0.84,0.852
2025-04-05 02:59:51.687,0.87,0.828,0.834,0.847
2025-04-05 03:59:49.73,0.854,0.822,0.828,0.868
2025-04-05 05:05:03.005,0.895,0.814,0.837,0.839
2025-04-05 06:00:03.344,0.878,0.798,0.807,0.855
2025-04-05 06:15:02.633,0.882,0.806,0.825,0.866
2025-04-05 06:30:01.898,0.865,0.813,0.829,0.843
2025-04-05 06:45:01.158,0.867,0.804,0.819,0.851
2025-04-05 07:00:00.133,0.848,0.781,0.798,0.838
2025-04-05 07:14:59.272,0.852,0.73,0.714,0.806
2025-04-05 07:29:58.27,0.827,0.656,0.688,0.812
2025-04-05 07:44:57.364,0.834,0.637,0.68,0.803
2025-04-05 07:59:56.472,0.802,0.623,0.655,0.781
2025-04-05 08:14:55.68,0.725,0.575,0.639,0.744
2025-04-05 08:29:54.96,0.77,0.556,0.626,0.649
2025-04-05 08:44:54.312,0.781,0.565,0.605,0.74
2025-04-05 08:59:53.55,0.776,0.555,0.586,0.658
2025-04-05 09:14:52.858,0.814,0.473,0.573,0.675
2025-04-05 09:29:52.14,0.779,0.466,0.574,0.641
2025-04-05 09:44:51.233,0.804,0.459,0.542,0.626
2025-04-05 09:59:50.363,0.803,0.436,0.541,0.571
2025-04-05 10:14:49.456,0.679,0.495,0.504,0.715
2025-04-05 10:29:48.446,0.615,0.491,0.513,0.624
2025-04-05 10:44:47.551,0.735,0.443,0.479,0.443
2025-04-05 10:59:46.772,0.664,0.441,0.468,0.513
2025-04-05 11:14:45.916,0.595,0.422,0.444,0.506
2025-04-05 11:29:45.04,0.672,0.412,0.469,0.406
2025-04-05 11:44:44.13,0.588,0.419,0.43,0.412
2025-04-05 11:59:43.272,0.469,0.383,0.417,0.427
2025-04-05 12:14:42.755,0.439,0.418,0.439,0.593
2025-04-05 12:29:41.706,0.575,0.408,0.451,0.411
2025-04-05 12:44:40.717,0.47,0.394,0.423,0.483
2025-04-05 12:59:39.783,0.664,0.469,0.487,0.514
2025-04-05 13:14:38.914,0.329,0.389,0.434,0.601
2025-04-05 13:29:38.097,0.679,0.387,0.423,0.433
2025-04-05 13:44:37.103,0.365,0.433,0.465,0.524
2025-04-05 13:59:36.199,0.361,0.44,0.404,0.438
2025-04-05 14:14:35.394,0.602,0.383,0.404,0.613
2025-04-05 14:29:34.607,0.606,0.384,0.44,0.529
2025-04-05 14:44:33.951,0.339,0.346,0.399,0.477
2025-04-05 14:59:33.227,0.359,0.358,0.414,0.629
2025-04-05 15:14:32.48,0.616,0.414,0.412,0.527
2025-04-05 15:29:31.555,0.699,0.48,0.469,0.645
2025-04-05 15:44:30.766,0.338,0.462,0.429,0.612
2025-04-05 15:59:30.417,0.638,0.481,0.475,0.669
2025-04-05 16:14:29.798,0.387,0.484,0.403,0.599
2025-04-05 16:29:28.956,0.373,0.447,0.403,0.537
2025-04-05 16:44:28.137,0.465,0.494,0.458,0.621
2025-04-05 16:59:27.572,0.664,0.517,0.494,0.71
2025-04-05 17:14:26.697,0.764,0.529,0.525,0.726
2025-04-05 17:29:25.734,0.655,0.496,0.489,0.701
2025-04-05 17:44:24.798,0.738,0.539,0.534,0.729
2025-04-05 17:59:24.07,0.783,0.549,0.548,0.725
2025-04-05 18:14:23.192,0.672,0.559,0.536,0.74
2025-04-05 18:29:22.218,0.714,0.571,0.543,0.734
2025-04-05 18:44:21.387,0.785,0.585,0.57,0.74
2025-04-05 18:59:20.496,0.785,0.588,0.578,0.757
2025-04-05 19:14:19.633,0.809,0.648,0.619,0.764
2025-04-05 19:29:18.822,0.779,0.683,0.671,0.804
2025-04-05 19:44:18.133,0.852,0.706,0.711,0.798
2025-04-05 19:59:17.402,0.841,0.764,0.782,0.828
2025-04-05 20:14:16.668,0.876,0.798,0.824,0.846
2025-04-05 20:29:15.726,0.871,0.814,0.835,0.833
2025-04-05 21:00:02.955,0.869,0.809,0.828,0.848
2025-04-05 22:00:01.246,0.881,0.81,0.831,0.843
2025-04-05 22:59:59.327,0.881,0.799,0.833,0.843
2025-04-05 23:59:57.364,0.886,0.81,0.833,0.855
2025-04-06 00:59:56.017,0.889,0.803,0.823,0.838
2025-04-06 01:59:54.303,0.898,0.805,0.822,0.853
2025-04-06 02:59:52.428,0.86,0.804,0.83,0.854
2025-04-06 03:59:50.732,0.872,0.796,0.833,0.849
2025-04-06 05:05:02.921,0.855,0.808,0.823,0.852
2025-04-06 06:00:03.29,0.877,0.782,0.796,0.842
2025-04-06 06:15:02.803,0.867,0.784,0.817,0.846
2025-04-06 06:30:02.12,0.882,0.786,0.816,0.848
2025-04-06 06:45:01.42,0.874,0.784,0.811,0.836
2025-04-06 07:00:00.713,0.861,0.759,0.786,0.829
2025-04-06 07:14:59.991,0.819,0.654,0.667,0.815
2025-04-06 07:29:59.196,0.838,0.595,0.66,0.778
2025-04-06 07:44:58.352,0.806,0.557,0.621,0.782
2025-04-06 07:59:57.453,0.8,0.536,0.588,0.773
2025-04-06 08:14:56.736,0.738,0.527,0.577,0.767
2025-04-06 08:29:55.803,0.797,0.557,0.597,0.8
2025-04-06 08:44:54.945,0.804,0.504,0.549,0.747
2025-04-06 08:59:54.51,0.788,0.495,0.514,0.717
2025-04-06 09:14:53.824,0.738,0.471,0.503,0.735
2025-04-06 09:29:53.089,0.728,0.451,0.499,0.723
2025-04-06 09:44:52.195,0.778,0.481,0.502,0.751
2025-04-06 09:59:51.416,0.778,0.455,0.501,0.761
2025-04-06 10:14:50.744,0.741,0.435,0.463,0.708
2025-04-06 10:29:49.946,0.74,0.454,0.472,0.721
2025-04-06 10:44:49.194,0.729,0.42,0.441,0.703
2025-04-06 10:59:48.394,0.652,0.384,0.427,0.708
2025-04-06 11:14:47.656,0.667,0.359,0.386,0.61
2025-04-06 11:29:46.923,0.621,0.351,0.369,0.468
2025-04-06 11:44:46.232,0.646,0.344,0.379,0.557
2025-04-06 11:59:45.516,0.664,0.34,0.395,0.61
2025-04-06 12:14:44.778,0.755,0.41,0.449,0.727
2025-04-06 12:29:44.012,0.736,0.426,0.462,0.702
2025-04-06 12:44:43.113,0.746,0.421,0.446,0.709
2025-04-06 12:59:42.274,0.754,0.422,0.451,0.716
2025-04-06 13:14:41.342,0.803,0.423,0.459,0.683
2025-04-06 13:29:40.534,0.768,0.464,0.489,0.734
2025-04-06 13:44:39.738,0.755,0.46,0.49,0.718
2025-04-06 13:59:38.816,0.735,0.35,0.399,0.685
2025-04-06 14:14:37.98,0.755,0.487,0.497,0.761
2025-04-06 14:29:37.134,0.755,0.402,0.451,0.694
2025-04-06 14:44:36.069,0.76,0.436,0.471,0.735
2025-04-06 14:59:35.395,0.797,0.626,0.618,0.753
2025-04-06 15:14:34.658,0.793,0.569,0.589,0.793
2025-04-06 15:29:33.844,0.815,0.513,0.549,0.77
2025-04-06 15:44:32.876,0.794,0.541,0.566,0.766
2025-04-06 15:59:32.214,0.81,0.515,0.556,0.757
2025-04-06 16:14:31.34,0.8,0.537,0.558,0.769
2025-04-06 16:29:30.517,0.822,0.586,0.607,0.78
2025-04-06 16:44:29.767,0.831,0.55,0.584,0.778
2025-04-06 16:59:29.018,0.83,0.558,0.569,0.783
2025-04-06 17:14:28.337,0.839,0.596,0.628,0.779
2025-04-06 17:29:27.592,0.833,0.613,0.626,0.793
2025-04-06 17:44:26.837,0.859,0.599,0.631,0.801
2025-04-06 17:59:26.03,0.856,0.65,0.665,0.801
2025-04-06 18:14:25.131,0.865,0.649,0.668,0.811
2025-04-06 18:29:24.384,0.817,0.642,0.653,0.813
2025-04-06 18:44:23.809,0.843,0.669,0.656,0.82
2025-04-06 18:59:23.038,0.813,0.611,0.642,0.775
2025-04-06 19:14:22.552,0.834,0.629,0.657,0.796
2025-04-06 19:29:21.732,0.858,0.73,0.745,0.813
2025-04-06 19:44:21.269,0.853,0.751,0.769,0.841
2025-04-06 19:59:20.434,0.866,0.767,0.796,0.84
2025-04-06 20:14:19.726,0.879,0.781,0.823,0.861
2025-04-06 20:29:18.763,0.874,0.791,0.822,0.842
2025-04-06 21:00:03.013,0.9,0.794,0.822,0.854
2025-04-06 22:00:01.114,0.889,0.786,0.824,0.854
2025-04-06 22:59:59.276,0.878,0.793,0.822,0.856
2025-04-06 23:59:57.595,0.867,0.78,0.813,0.842
2025-04-07 00:59:55.64,0.888,0.786,0.82,0.861
2025-04-07 01:59:53.964,0.883,0.786,0.817,0.866
2025-04-07 02:59:52.15,0.884,0.787,0.821,0.856
2025-04-07 03:59:50.467,0.882,0.78,0.808,0.845
2025-04-07 05:05:02.715,0.888,0.777,0.816,0.862
2025-04-07 06:00:03.037,0.882,0.75,0.776,0.85
2025-04-07 06:15:02.3,0.861,0.764,0.803,0.848
2025-04-07 06:30:01.488,0.895,0.766,0.803,0.849
2025-04-07 06:45:00.564,0.88,0.754,0.804,0.855
2025-04-07 06:59:59.759,0.87,0.759,0.795,0.836
2025-04-07 07:14:58.916,0.843,0.745,0.763,0.836
2025-04-07 07:29:58.013,0.825,0.684,0.701,0.798
2025-04-07 07:44:57.145,0.832,0.651,0.648,0.81
2025-04-07 07:59:56.33,0.811,0.61,0.572,0.788
2025-04-07 08:14:55.496,0.83,0.623,0.603,0.798
